"filename", "language", "JavaScript", "JavaScript JSX", "XML", "PostCSS", "Markdown", "HTML", "JSON", "Dotenv", "Git Commit Message", "comment", "blank", "total"
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\AddToCart.jsx", "JavaScript JSX", 0, 156, 0, 0, 0, 0, 0, 0, 0, 3, 33, 192
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\AllCategories.jsx", "JavaScript JSX", 0, 43, 0, 0, 0, 0, 0, 0, 0, 1, 4, 48
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\AllProducts.jsx", "JavaScript JSX", 0, 168, 0, 0, 0, 0, 0, 0, 0, 19, 24, 211
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\CheckOut.jsx", "JavaScript JSX", 0, 237, 0, 0, 0, 0, 0, 0, 0, 11, 28, 276
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\Contact.jsx", "JavaScript JSX", 0, 74, 0, 0, 0, 0, 0, 0, 0, 3, 15, 92
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\ErrorPage.jsx", "JavaScript JSX", 0, 37, 0, 0, 0, 0, 0, 0, 0, 3, 8, 48
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\Login.jsx", "JavaScript JSX", 0, 124, 0, 0, 0, 0, 0, 0, 0, 6, 18, 148
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\PrivacyPolicy.jsx", "JavaScript JSX", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 8, 57
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\Profile.jsx", "JavaScript JSX", 0, 448, 0, 0, 0, 0, 0, 0, 0, 13, 49, 510
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\Register.jsx", "JavaScript JSX", 0, 155, 0, 0, 0, 0, 0, 0, 0, 6, 25, 186
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\SearchPage.jsx", "JavaScript JSX", 0, 58, 0, 0, 0, 0, 0, 0, 0, 2, 10, 70
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\Terms.jsx", "JavaScript JSX", 0, 84, 0, 0, 0, 0, 0, 0, 0, 7, 10, 101
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\ThankYou.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\home\AboutSkinOra.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\home\Banner.jsx", "JavaScript JSX", 0, 57, 0, 0, 0, 0, 0, 0, 0, 30, 10, 97
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\home\Categorys.jsx", "JavaScript JSX", 0, 84, 0, 0, 0, 0, 0, 0, 0, 5, 10, 99
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\home\CustomerTestimonials.jsx", "JavaScript JSX", 0, 70, 0, 0, 0, 0, 0, 0, 0, 3, 11, 84
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\home\Features.jsx", "JavaScript JSX", 0, 49, 0, 0, 0, 0, 0, 0, 0, 5, 9, 63
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\home\Home.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\home\Products.jsx", "JavaScript JSX", 0, 53, 0, 0, 0, 0, 0, 0, 0, 2, 9, 64
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\singleCategory\Banner.jsx", "JavaScript JSX", 0, 47, 0, 0, 0, 0, 0, 0, 0, 2, 10, 59
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\singleCategory\CategoryPage.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\singleCategory\CategoryProduct.jsx", "JavaScript JSX", 0, 151, 0, 0, 0, 0, 0, 0, 0, 11, 24, 186
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\singleCategory\MobileFilterDrawer.jsx", "JavaScript JSX", 0, 154, 0, 0, 0, 0, 0, 0, 0, 7, 12, 173
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\singleCategory\ProductFilter.jsx", "JavaScript JSX", 0, 134, 0, 0, 0, 0, 0, 0, 0, 5, 10, 149
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\Pages\singleProduct\SingleProduct.jsx", "JavaScript JSX", 0, 238, 0, 0, 0, 0, 0, 0, 0, 9, 52, 299
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\assets\images\index.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\assets\images\logo.svg", "XML", 0, 0, 338, 0, 0, 0, 0, 0, 0, 0, 1, 339
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\context\CartContext.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 66
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\index.css", "PostCSS", 0, 0, 0, 72, 0, 0, 0, 0, 0, 5, 9, 86
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\index.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 21
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"d:\MyProject\AA_Git_Hub\Research-SkinOra\SkinOra-React\tailwind.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"Total", "-", 177, 3586, 339, 142, 38, 20, 17767, 1, 1, 271, 621, 22963
